protocol_family,model,r2_mean,r2_std,r2_min,r2_max,are_mean,are_std,are_min,are_max,n_protocols
leave_one_opening_out,GRNN,0.8866173502254409,0.2278955584384887,0.3823197600405529,0.9934014510752667,6.03653884933147,8.374651086656844,1.7410425784180936,23.92118139080992,7
leave_one_opening_out,KAN,0.9676330855914524,0.07931234414470921,0.7880734205245972,0.9999558329582214,2.609663629106113,4.839060370077577,0.1819845587015152,13.41736125946045,7
leave_one_opening_out,MLP,0.9865286153201793,0.021275430940458896,0.9386044326882144,0.9980735554504107,2.839638779148035,2.063310011787138,1.333497998067336,7.37554816191598,7
leave_speed_block_out,GRNN,0.9008895598515592,,0.9008895598515592,0.9008895598515592,7.444136995579301,,7.444136995579301,7.444136995579301,1
leave_speed_block_out,KAN,0.995738685131073,,0.995738685131073,0.995738685131073,1.3175885677337646,,1.3175885677337646,1.3175885677337646,1
leave_speed_block_out,MLP,0.993748735059884,,0.993748735059884,0.993748735059884,2.0599630456990496,,2.0599630456990496,2.0599630456990496,1
random_interp,GRNN,0.9944334282036346,,0.9944334282036346,0.9944334282036346,2.792923563890828,,2.792923563890828,2.792923563890828,1
random_interp,KAN,0.9999446868896484,,0.9999446868896484,0.9999446868896484,0.25886866450309753,,0.25886866450309753,0.25886866450309753,1
random_interp,MLP,0.9834162860565963,,0.9834162860565963,0.9834162860565963,4.745113843381735,,4.745113843381735,4.745113843381735,1
